,PahoCat,SupplierNumber,Weight
0,01010112,665171,0.0010706853453947
1,01010210,723014,0.0028339990625222
2,01010210,665171,0.0021042760626209
3,01020181,661595,0.0122727348768363
4,01040201,665171,0.0248764512780455
5,01050101,864616,0.0638000000841554
6,01050101,421965,0.0110217831091002
7,01050201,293062,0.0084718018250762
8,01050201,796916,0.0147999999998703
9,01050201,421965,0.0106936597991719
10,01060101,268496,0.015299999855764
11,01060101,665171,0.0176123438903489
12,01060110,268496,0.0050458952000052
13,01060110,665171,0.0053745038472359
14,01060201,268496,0.0148518236151864
15,01060201,665171,0.0170674115027033
16,01070201,105016,0.0355666666666666
17,01070201,794152,0.0084
18,01070201,796916,0.0153459659503891
19,01070201,154470,0.0249199999999999
20,01070295,796916,0.0715430012480135
21,01090110,163894,0.0042430261271124
22,01090195,692583,0.0418134007851034
23,01091010,163894,0.0040162624587502
24,01091010,450254,0.0019998555956678
25,01091212,163894,0.0020285714282628
26,01095095,860342,0.03125
27,01095101,163894,0.0146666666666666
28,01095110,163894,0.0040019199616008
29,01095110,692583,0.0022177272727272
30,01095195,692583,0.0296682673950583
31,01096010,722845,0.0029182811146917
32,01096010,163894,0.0040251896030683
33,01096010,450254,0.0020130952380952
34,01096212,722845,0.0014304262666668
35,01096212,163894,0.0047058823529411
36,01110101,293062,0.0100214285714285
37,01110201,665171,0.076
38,01110205,665171,0.0081056105610561
39,01110301,111198,0.0195963112975597
40,01110401,111198,0.0205306666666666
41,01120101,796916,0.0152237778323303
42,01130105,723014,0.00448
43,01130105,233469,0.007420343233301
44,01130105,268496,0.0035
45,01130195,692583,0.0198691381472427
46,01130205,268496,0.0034838618997352
47,01140410,86997,0.0030094563213755
48,01140410,48852,0.0024641235944989
49,01140410,665171,0.0026894019579346
50,01140412,86997,0.0015153333333333
51,01140412,48852,0.0010478399116054
52,01140412,665171,0.0014499999879942
53,01170105,740545,0.0083838902745976
54,01180101,864616,0.0265763658932456
55,01180101,666124,0.0233541102256245
56,01181001,163894,0.0547453079696138
57,01190105,200875,0.0114
58,01190110,200875,0.0076303309068634
59,01190110,692583,0.0029928914443174
60,01210101,665171,0.0220359805222045
61,01210195,692583,0.0327630608108518
62,01230101,221971,0.03096
63,01530101,293062,0.0260926312022432
64,01600181,293062,0.0128605431352423
65,01600197,293062,0.0357843304554184
66,01600301,293062,0.0522295918364082
67,01700110,315415,0.0034202226510803
68,01701010,740545,0.0040361409820535
69,01701010,665171,0.0015870845769592
70,01710101,293062,0.0131340106526003
71,01710101,692583,0.013913486611807
72,01711001,692583,0.0317599998794847
73,01712010,740545,0.0040424759935488
74,01712010,665171,0.001587347875
75,01740501,740545,0.0173847700376302
76,01740501,214084,0.0076657761934761
77,01740501,665171,0.0161813780792211
78,01750101,692583,0.0098462893414228
79,01750195,293062,0.1816999999406942
80,01760195,293062,0.0664916179383629
81,01760195,692583,0.0202320001043764
82,01770195,293062,0.1054986349922764
83,01770195,692583,0.0498999999807447
84,01810101,665171,0.0206558399951512
85,01810110,740545,0.0026601708886746
86,01810110,665171,0.01522
87,01820101,293062,0.0127007379243804
88,01820101,864616,0.0267498641465191
89,01820501,665171,0.0206440714627465
90,01820505,665171,0.0052870130691603
91,01820510,665171,0.0033834136827824
92,01900505,263898,0.0084619365983743
93,03010101,723014,0.0858029371441669
94,03010201,315415,0.0085710851368907
95,03010201,692583,0.0631999999945906
96,03060101,904923,0.0556639308703974
97,03060201,163894,0.080995217926161
98,03060295,680235,0.1302878049416467
99,03160101,163894,0.0415562124039698
100,03160195,904923,0.0921591167479544
101,03180101,687048,0.1138378023901872
102,03180102,163894,0.0619996016028329
103,03180102,687048,0.1641025641025641
104,03210201,687048,0.0751760933051866
105,03210295,680235,0.2137771550874885
106,03210401,78562,0.076
107,03700101,722845,0.1711449262741715
108,06000202,719708,0.0037013727628447
109,06000202,5083,0.006848484848485
110,06000302,719708,0.0037017543859649
111,06000302,576843,0.0044333333333333
112,06000302,5083,0.0068520408163265
113,06000302,679754,0.0044948299534118
114,06000402,719708,0.0036999742171288
115,06000502,5083,0.0038125
116,06000502,679754,0.0045061728395061
117,06000602,576843,0.0055
118,06010700,496728,0.0049333126490405
119,06010800,496728,0.0048980099502487
120,06011000,719708,0.0084994555268954
121,06011000,5083,0.0105
122,06020900,5083,0.0066995350122991
123,06500100,558254,0.2260713634587421
124,06500100,217171,0.2883420995432189
125,07040032,149187,2.3125
126,07050019,149187,0.05
127,07060036,33856,0.27
128,07060076,649544,0.0540192926045016
129,08010110,44179,0.0032120439387995
130,08010110,638953,0.0059659018695574
131,08010110,286977,0.0030423939559617
132,08010110,47607,0.0025491942900593
133,08010112,47607,0.002
