Year,Month,Container Size,Origin,Destination,Rate,Date
2013,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Apr 2013
2013,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,Apr 2013
2013,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1140,Apr 2013
2013,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1380,Apr 2013
2013,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),750,May 2013
2013,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,May 2013
2013,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1500,May 2013
2013,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1850,May 2013
2013,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Jun 2013
2013,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),960,Jun 2013
2013,Jun,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Jun 2013
2013,Jun,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1810,Jun 2013
2013,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Jul 2013
2013,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),960,Jul 2013
2013,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Jul 2013
2013,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1810,Jul 2013
2013,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),800,Aug 2013
2013,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),1000,Aug 2013
2013,Aug,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1560,Aug 2013
2013,Aug,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1890,Aug 2013
2013,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Sep 2013
2013,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),960,Sep 2013
2013,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1450,Sep 2013
2013,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1770,Sep 2013
2013,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),760,Oct 2013
2013,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),950,Oct 2013
2013,Oct,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1560,Oct 2013
