Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Distance,Volume,StorageCondition,Openness,Weight,TotalWeight
Chile,2022-03-04,Vaccine,8205,1,India,150000,486000.0,63267.0,211.7,2358,1,8271.045,188.1,"Between +2° C and + 8° C, can also be frozen",3.7,0.043333333,6499.99995
Cayman Islands,2022-03-07,Vaccine,601,1,United States of America,600,480.0,1467.0,211.7,2358,1,14225.51,86.4,"Between +2° C and + 8° C, must not be frozen",2.0,0.0163086698666667,9.785201920000022
Colombia,2022-03-07,Vaccine,7120,10,India,400000,66000.0,18133.0,211.7,2358,10,4021.171,98.4,"Between +2° C and + 8° C, must not be frozen",1.8,0.027916667,1116.6666799999998
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Colombia,2022-03-07,Vaccine,1103,1,United States of America,300000,4350000.0,53000.0,211.7,2358,1,4021.171,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",1.8,0.020411111,6123.333299999999
Nicaragua,2022-03-07,Vaccine,8205,1,India,212500,688500.0,90133.0,211.7,2358,1,3408.012,188.1,"Between +2° C and + 8° C, can also be frozen",3.0,0.043333333,9208.3332625
Nicaragua,2022-03-07,Vaccine,8205,1,India,212500,688500.0,90133.0,211.7,2358,1,3408.012,188.1,"Between +2° C and + 8° C, can also be frozen",3.0,0.043333333,9208.3332625
Nicaragua,2022-03-07,Vaccine,8205,1,India,212500,688500.0,90133.0,211.7,2358,1,3408.012,188.1,"Between +2° C and + 8° C, can also be frozen",3.0,0.043333333,9208.3332625
Nicaragua,2022-03-07,Vaccine,8205,1,India,212500,688500.0,90133.0,211.7,2358,1,3408.012,188.1,"Between +2° C and + 8° C, can also be frozen",3.0,0.043333333,9208.3332625
Peru,2022-03-07,Vaccine,7405,1,India,300000,315000.0,91146.0,211.7,2358,1,16792.93,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.2,0.0209864467599999,6295.93402799997
Jamaica,2022-03-10,Vaccine,7405,1,India,70000,80500.0,28000.0,211.7,2358,1,14143.62,93.08203125,"Between +2° C and + 8° C, must not be frozen",2.3,0.018967014,1327.69098
Montserrat,2022-03-10,Vaccine,7405,1,India,250,262.5,1283.0,211.7,2358,1,13363.98,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.4,0.0198663414966666,4.96658537416665
Colombia,2022-03-11,Vaccine,1901,10,France,25800,39474.0,1410.0,211.7,2358,10,8707.677,215.3453333333333,"Between +2° C and + 8° C, can also be frozen",1.8,0.033933333,87.54799914000002
Colombia,2022-03-14,Vaccine,1301,5,Netherlands,1000000,2500000.0,44690.0,211.7,2358,5,8927.356,119.3142857142857,"Between +2° C and + 8° C, must not be frozen",1.8,0.034464286,6892.8572
Colombia,2022-03-14,Vaccine,7010,10,India,500000,55000.0,22400.0,211.7,2358,10,4021.171,98.4,"Between +2° C and + 8° C, must not be frozen",1.8,0.02625,1312.5
